gene	GSM1495249	GSM1495251	GSM1495253	GSM1495250	GSM1495252
400506	0.65	0.42	0.51	0.71	0.81
400569	0.2	0.18	0.26	0.12	0.38
400578	-0.56	-1.21	-1.19	-0.55	-1.18
400581	-0.19	-0.29	-0.28	-0.29	-0.13
400609	-1.17	-1.21	-1.19	-1.17	-1.18
400629	-0.46	-0.51	-0.58	-1.17	-0.1
400645	-0.46	-1.21	-1.19	-1.17	-1.18
400650	-0.35	-0.39	-1.19	-0.46	-0.41
400652	-1.17	-0.61	-1.19	-1.17	-1.18
400668	-0.56	-1.21	-0.58	-1.17	-1.18
400673	0.01	-0.04	0.2	0.08	0.18
400709	-0.22	-0.2	-0.17	-0.36	-0.17
400713	0.05	0.21	0.3	0.19	0.29
400720	0.26	0.33	0.62	0.3	0.39
400735	-1.17	-0.51	-1.19	-1.17	-1.18
400736	-1.17	-1.21	-1.19	-1.17	-1.18
400745	1.1	1.06	-0.13	1.32	-0.12
400746	-0.15	-0.19	-0.18	-0.12	-0.2
400759	-0.18	-0.31	-0.31	-0.4	-0.3
400769	-1.17	-0.61	-1.19	-1.17	-1.18
400818	0.65	0.49	1.41	0.71	0.85
400823	-0.37	-0.46	-0.23	-0.46	-0.41
400830	-1.17	-1.21	-1.19	-1.17	-1.18
400836	-1.17	-1.21	-1.19	-1.17	-1.18
400891	-0.18	-0.18	-0.02	-0.14	-0.07
400892	0.19	-0.03	0.12	0.16	0.37
400916	0.66	0.89	0.23	0.76	0.32
400935	-0.35	-0.3	-0.58	-1.17	-1.18
400954	0.52	0.46	0.29	0.68	0.43
400961	1.51	0.97	0.58	1.29	0.71
400966	-0.17	-0.18	-0.12	-0.2	-0.29
400984	-0.56	-0.61	-0.25	-0.4	-0.35
400986	0.27	0.24	0.36	0.41	0.3
401007	-1.17	-1.21	-1.19	-1.17	-1.18
401010	-1.17	-1.21	-0.58	-1.17	-1.18
401018	-0.25	-0.33	-1.19	-0.29	-1.18
401024	0.09	0.09	0.2	0.27	0.22
401036	-0.29	-0.35	-0.33	-0.26	-0.24
401067	-1.17	-0.31	-0.35	-0.23	-0.46
401089	-0.18	-0.17	-0.17	-0.17	-0.1
401124	-0.23	-0.61	-0.07	-0.26	-0.26
401135	-0.32	-0.31	-1.19	-0.25	-0.37
401136	-0.25	-0.37	-0.31	-0.36	-0.25
401137	-0.46	-0.42	-0.4	-0.31	-0.37
401138	-1.17	-1.21	-1.19	-1.17	-1.18
401145	-0.11	-0.04	-0.18	0.05	-0.12
401190	1.02	0.95	0.08	1.23	0.4
401233	-1.17	-0.39	-1.19	-0.26	-1.18
401236	-0.29	-0.28	-0.4	-0.31	-0.56
401250	-1.17	-1.21	-1.19	-1.17	-1.18
401251	-0.25	-0.61	-0.02	-0.18	-0.06
