gene	GSM2230612	GSM2230611	GSM2230613
57621	0.22	0.09	0.08
57622	-0.54	-0.4	-0.53
57623	-0.25	-0.1	-0.17
57624	-0.68	-1.53	-0.97
57626	-0.39	-0.38	-0.37
57628	-0.24	-0.19	-0.28
57630	0.04	-0.08	0.26
57631	-1.63	-0.66	-0.13
57633	-1.63	-1.53	-0.97
57634	1.25	0.87	1.11
57636	0.42	0.86	0.59
57639	-0.6	-0.76	-0.97
57642	0.23	-0.06	-0.61
57643	-0.65	-1.53	-0.97
57644	-0.98	-0.9	-0.97
57645	0.72	0.15	0.49
57646	0.35	0.11	0.18
57647	0.34	0.23	0.61
57648	-0.15	-0.21	1.27
57649	0.78	0.62	0.57
57654	0	-0.04	-0.17
57655	0.81	0.78	0.67
57657	-0.59	-0.4	-0.51
57658	-0.05	0.21	0.06
57659	0.66	0.54	0.25
57661	0.9	0.8	0.83
57662	-0.55	-0.66	-0.59
57663	-0.51	-0.5	-0.59
57664	-0.01	-0.31	-0.25
57665	0.46	0.5	0.26
57666	0.2	0.17	0.21
57669	-0.05	-0.18	-0.32
57670	0.16	0.31	0.11
57673	-0.04	0.01	0.2
57674	0.67	0.18	1.38
57677	-0.3	-0.22	-0.35
57678	0.07	0.07	-0.08
57679	0.69	0.53	0.25
57680	1.17	0.92	0.88
57683	-1.16	-1.53	-1.48
57684	0.21	-0.07	-0.02
57685	-0.11	-0.66	0.12
57687	-0.4	0.38	-0.43
57688	0.21	0.21	0.16
57689	-0.61	-0.68	-1.48
57690	0.83	0.64	0.41
57692	0.39	0.51	0.03
57693	0.45	0.17	0.24
57695	0.34	0.13	0.12
57696	0.18	-0.04	-0.03
57697	0.28	0	0.02
57698	-0.52	-0.52	-0.59
57699	-0.37	-0.42	-0.39
57700	0.5	0.48	0.29
57701	-0.12	-0.04	-0.06
57703	0.16	0.15	0.19
57704	0.01	0.01	-0.01
57705	-1.63	-1.03	-0.69
57706	0.35	0.29	0.01
57707	-0.22	-0.05	0.08
57708	0.36	0.4	0.6
57709	-0.42	-0.32	-0.35
57710	0.35	0.16	0.21
57713	-0.3	-0.22	-0.19
57715	-0.46	-0.31	-0.4
57716	0.04	0	-0.04
57717	-0.26	-0.06	-0.28
57718	-0.4	-0.09	-0.51
57719	0.31	0.26	0.89
57720	1	0.9	0.68
57721	0.18	0.2	0
57722	-0.36	-0.61	-0.48
57724	0.26	0.04	0.16
57727	0.49	0.57	0.56
57728	0.03	-0.06	-0.11
57731	-0.47	-0.39	-0.28
57732	-0.24	-0.33	-0.61
57758	-1.04	-0.82	-1.48
57761	-0.08	-0.13	0.08
57763	0.06	0.24	0.1
57786	-0.02	-0.04	-0.18
57787	0.37	0.39	0.4
57794	0.07	0.35	0.36
57795	-0.81	-0.76	-0.97
57798	1.41	1.37	1.32
57799	0.34	0.54	0.51
57804	1.09	1.17	1.7
57805	0.83	0.65	0.9
57818	-1.63	-1.53	-1.48
57819	0.94	1.21	1.51
57820	-1.16	-1.53	-1.48
57821	-0.02	-0.15	-0.15
57822	-1.63	-1.53	-1.48
57823	-0.81	-0.9	-0.69
57826	0.63	0.45	0.51
57827	0	0.09	0.19
57828	-0.47	-0.63	-0.47
57834	-1.63	-1.53	-0.86
57835	-1.16	-0.76	-0.86
57862	0.72	0.91	0.57
57863	-1.04	-1.53	-0.55
57864	-1.16	-1.53	-1.48
58155	0.43	0.17	0.23
58157	-0.66	-0.76	-0.73
58158	-1.63	-1.53	-1.48
58189	-0.46	-0.82	-0.53
58190	1.05	1.1	1.4
58191	-0.71	-0.58	-0.53
58473	1.76	1.74	-0.48
58475	-0.6	-0.76	-0.78
58476	0.92	1.85	0.28
58477	1.3	1.02	1.03
58478	0.58	0.52	0.89
58480	-0.05	0.46	0.07
58484	-0.47	-0.47	-0.69
58485	0.24	0.59	0.55
58486	-0.47	-0.37	-0.3
58487	0.75	0.24	0.28
58488	-0.81	-0.9	-0.36
58489	0.51	0.34	0.5
58490	0.27	0.38	0.33
58493	0.44	0.58	0.51
58494	1.97	1.42	-0.21
58495	-1.63	-1.53	-0.97
58496	-0.71	-0.54	-0.47
58498	-1.63	-1.53	-1.48
58499	0.45	0.48	0.4
58500	-0.5	-0.59	-0.45
58504	0.95	0.91	1.57
58505	2.02	2.05	2.11
58508	0.94	0.51	0.16
58509	0.33	0.44	0.42
58510	-0.76	-0.55	-0.53
58511	-1.63	-1.53	-1.48
58512	-1.63	-0.76	-0.59
58513	0.16	0.43	0.45
58524	-1.63	-1.53	-1.48
58525	0.57	0.63	0.6
58526	1.13	1.4	0.91
58527	1.44	1.35	1.95
58528	0.23	-0.49	-0.23
58529	-1.63	-1.53	-0.66
58530	-0.72	-0.68	-1.48
58531	-0.98	-0.82	-0.97
58533	0.85	1.21	0.94
58538	-0.42	-0.37	-0.48
58985	-1.63	-1.53	-1.48
58986	-0.31	-0.36	-0.37
59067	-1.16	-1.53	-0.97
59084	1.54	1.16	-0.35
59269	-0.12	-0.07	0.22
59271	-0.34	-0.45	0.64
59272	-1.16	-0.58	-1.48
59277	0.32	0.33	-0.12
59283	-0.09	-0.48	-0.66
59284	0.65	0.2	-0.52
59285	-0.71	-0.76	-1.48
59286	1.19	1.27	1.47
59307	-1.16	-1.53	-0.2
59335	-1.04	-1.03	-1.48
59336	-1.63	-1.53	-1.48
59338	0.42	0.65	0.19
59339	0.06	-0.42	0.75
59340	-1.63	-1.53	-1.48
59341	-0.43	-0.3	-0.63
59342	1.85	1.72	1.56
59343	0.79	0.66	0.51
59344	-0.78	-0.59	-0.86
59345	1.26	0.74	1.03
59349	0.02	0.11	0.01
59350	-0.66	-0.9	-0.73
59352	1.22	0.75	-0.29
60312	1.19	0.92	0.73
60313	0.32	0.41	0.31
60314	0.58	0.79	1.35
60343	0.34	0.45	0.26
60370	0.53	1.35	2.27
60385	-0.92	-1.03	-0.86
60386	0.16	0.23	0.3
60401	0.86	0.65	0.26
60412	1.33	1.32	0.64
60436	-0.15	-0.11	0.18
60437	-1.63	-1.03	0
60468	-0.27	-0.2	-0.55
60481	1.23	0.84	0.6
60482	-1.63	-1.03	-1.48
60484	-1.63	-0.9	-0.97
60485	1.28	1.09	1.22
60487	0.04	-0.02	0.03
60488	0.75	0.57	1.07
60490	0.38	0.18	0.63
60491	0.76	0.79	1.11
60492	1.13	0.92	0.93
60493	-0.04	0.03	-0.02
60494	-0.92	-1.03	-1.48
60495	-1.63	-1.53	-1.48
60496	0.9	0.63	0.8
60506	-0.54	-0.51	-0.61
60509	-0.21	-0.24	-0.15
60526	0.75	0.84	0.56
60528	0.19	0.37	0.35
60529	-0.56	-0.68	-1.48
60558	0.47	0.36	0.24
60559	1.14	0.99	1.46
60560	0.22	0.42	0.43
60561	0.29	0.3	0.4
60592	0.96	1.16	0.92
60598	-1.63	-1.53	-1.48
60625	0.15	0.14	0.05
60626	0.78	1	1.29
60672	0.25	0.28	0.65
60673	-0.04	0.36	0.41
60675	-1.63	-1.53	-1.48
60676	-0.44	-0.46	-0.57
60678	0.06	0	0.26
60680	-0.29	-0.27	-0.59
60681	0.37	-0.39	1.48
60682	0.74	0.69	0.44
60684	0.14	0.27	0.19
60685	1.09	1.16	0.85
60686	-0.26	-0.22	-0.19
63027	0.62	1.33	0.26
