gene	GSM2157516	GSM2157515	GSM2157514	GSM2157513
8745	-1.49	-1.34	-1.38	-1.42
8747	-0.82	-0.57	-0.85	-0.68
8748	-1.49	-1.34	-1.38	-1.42
8749	-1.49	-1.34	-1.38	-1.42
8751	0.34	0.39	0.18	0.36
8754	1.15	1.86	1.27	1.15
8756	-1.49	-1.34	-1.38	-1.42
8760	0.98	0.98	1.09	1.06
8761	2.08	1.8	1.88	1.94
8763	1.82	2.18	2.05	1.92
8764	-0.48	-0.55	-0.39	-0.37
8766	0.95	1.25	0.99	0.92
8767	0.16	0.17	0.34	0.24
8772	0.22	-0.01	0.02	0.02
8773	0.24	0.56	0.65	0.52
8774	0.42	0.46	0.47	0.36
8775	1.02	1.13	0.82	0.98
8776	0.62	0.76	0.24	0.15
8777	0.23	1.02	0.89	0.76
8780	1.34	1.45	1.17	1.11
8784	-0.53	-0.54	-0.61	-0.52
8785	-0.67	-0.15	-0.35	-0.33
8786	-0.42	-0.43	-0.49	-0.49
8787	-0.55	-0.55	-0.62	-0.59
8788	-1.49	-1.34	-1.38	-1.42
8789	-1.49	-1.34	-1.38	-1.42
8790	-0.04	0.14	0.18	0.02
8792	-0.44	-0.33	-0.4	-0.4
8796	-0.43	-0.48	-1.38	-0.78
8797	0.19	0.2	0.38	0.33
8798	-0.99	-1.34	-1.38	-1.42
8799	0.08	0.03	0.11	0.12
8800	-0.11	-0.2	-0.25	-0.31
8801	1.39	1.1	1.19	1.12
8802	0.99	0.78	0.84	0.93
8803	0.93	1.05	1.03	0.9
8804	0	-0.01	-0.11	-0.18
8805	0.87	1.12	0.77	0.68
8807	0.45	0.29	0.6	0.36
8808	-0.88	-0.65	-0.15	-0.22
8809	0.43	0.47	0.05	-0.06
8811	-0.7	-0.61	-1.38	-0.61
8812	0.76	0.44	0.53	0.6
8813	-0.13	0.15	-0.05	-0.05
8814	-1.49	-1.34	-1.38	-1.42
8815	1.62	1.32	1.48	1.59
8816	0.81	0.58	0.57	0.58
8817	-0.28	-0.42	-0.66	-0.64
8818	0.21	0.25	0.37	0.4
8819	0.57	0.56	0.44	0.47
8820	-1.49	-1.34	-1.38	-1.42
8821	-0.32	-0.55	-0.31	-0.32
8822	-0.88	-0.75	-1.38	-0.78
8823	-0.63	-0.81	-1.38	-1.42
8824	-1.49	-1.34	-1.38	-1.42
8825	-1.49	-1.34	-1.38	-0.9
8826	1.87	2.07	1.98	1.85
8828	1.79	1.61	1.53	1.4
8829	1.23	1.65	1.57	1.46
8831	-0.25	-0.22	-0.2	-0.21
8832	-0.39	-0.41	-0.45	-0.48
8833	1.44	1.45	1.79	1.67
8834	0.55	0.38	0.38	0.52
8835	-0.03	-0.07	0.01	0.01
8836	-0.04	0.06	-0.19	-0.12
8837	0.74	0.84	0.73	0.63
8838	-0.73	-0.81	-1.38	-0.72
8839	-0.03	1.05	1.26	1.54
8840	1.14	1.37	1.94	1.81
8841	1.53	1.41	1.32	1.31
8842	-0.73	-1.34	-0.65	-0.55
8844	-0.2	-0.27	-0.1	-0.07
8846	0.25	0.18	0.25	0.2
8848	1.92	2.16	1.68	1.72
8850	0.49	0.86	0.5	0.42
8851	-0.22	-0.36	-0.15	-0.19
8852	-1.49	-1.34	-1.38	-1.42
