gene	GSM2687426	GSM2687427	GSM2687428	GSM2687429	GSM2687430	GSM2687431
146212	-1.63	-1.52	-1.51	-0.88	-1.46	-0.92
146223	1.28	1.27	1.19	1.6	1.59	1.4
146225	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
146227	-0.62	-0.6	-0.73	-0.46	-0.75	-0.73
146279	-0.86	-0.96	-0.89	-0.53	-0.28	-0.73
146310	-1.08	-1.52	-1.51	-0.84	-1.46	-1.01
146330	-0.64	-0.72	-0.86	-0.42	-0.34	-0.32
146378	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
146395	-0.81	-0.96	-0.68	-0.75	-0.59	-0.77
146433	-0.3	-0.31	-0.32	-0.02	0.33	0.18
146434	-0.15	-0.16	-0.12	0.09	-0.01	-0.1
146456	-1.08	-1.52	-1.51	-0.94	-0.79	-0.8
146542	-0.27	-0.32	-0.24	-0.25	-0.1	-0.16
146547	-0.55	-0.54	-0.44	-0.39	-0.32	-0.26
146556	-0.86	-1.08	-0.78	-0.34	-0.98	-0.8
146664	-1.63	-1.52	-1.07	-1.59	-0.98	-1.49
146691	0.52	0.52	0.56	0.22	0.66	0.68
146712	-0.32	-0.34	-0.34	-0.22	-0.13	-0.19
146722	-0.58	-0.63	-0.68	-0.73	-0.79	-0.6
146754	-0.96	-0.96	-0.76	-0.75	-0.52	-0.73
146760	-0.53	-0.48	-0.84	-0.5	-0.75	-1.01
146779	-1.18	-1.52	-1.51	-0.84	-0.48	-1.49
146845	-0.96	-0.82	-0.8	-1.59	-0.79	-0.8
146849	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
146850	-0.67	-0.63	-1.02	-0.94	-0.79	-0.7
146852	-1.63	-1.52	-1.51	-1.59	-1.46	-1.01
146853	-0.76	-0.84	-0.68	-0.43	-0.46	-0.68
146857	0.93	0.99	1	0.57	0.89	0.04
146862	-0.77	-0.69	-0.98	-1.12	-0.98	-0.92
146894	-0.58	-0.54	-0.74	-0.84	-0.79	-0.73
146909	0.28	0.3	-0.12	0.74	0.66	0.34
146923	0.03	0.06	0.14	0.05	0.2	0.1
146956	-0.21	-0.25	-0.38	-0.01	-0.13	-0.17
147007	0.26	0.3	0.33	0.28	0.62	0.24
147011	-0.51	-0.53	-0.39	-0.75	-0.69	-0.7
