gene	GSM1076115	GSM1076114
143	0.44	0.3
146	0.18	0.4
147	-0.31	-0.09
148	-1.56	-1.1
150	0.24	0.31
151	-1.07	-1.1
152	-1.56	-1.59
153	-0.82	-0.65
154	-0.39	-0.41
155	-0.45	-0.49
158	0.93	1.06
159	0.66	0.91
160	1.82	1.87
161	1.94	1.95
162	1.23	1.26
164	1.19	1.26
165	2.88	2.76
166	1.7	1.8
167	-1.56	-1.59
173	-1.56	-0.98
174	-0.94	-1.59
175	0.92	0.85
177	-0.58	-0.6
178	0.9	0.83
181	-0.87	-0.75
182	0.95	0.83
183	-0.67	-0.52
185	-0.43	-0.5
186	-0.47	-0.37
187	-1.07	-1.59
189	-1.56	-1.1
190	-1.56	-1.59
191	1.23	1.33
196	0.25	0.42
197	-1.56	-1.59
199	-0.94	-0.98
203	1.82	1.71
204	1.12	1.13
205	1.04	0.31
207	2.13	2.22
208	1.5	1.5
210	0.23	0.25
211	1.2	1.13
212	-0.78	-0.78
213	-1.56	-1.59
214	0.83	1.14
215	0.36	0.3
216	-0.82	-0.49
217	1.54	1.57
218	-0.75	-0.78
219	-0.39	-0.42
220	0.39	0.29
221	-0.36	-0.37
223	0.57	0.5
224	0.69	0.63
225	-0.48	-0.51
226	2.81	2.71
229	-1.56	-1.59
230	-0.25	-0.44
231	1.12	1.09
238	-1.56	-1.59
239	-0.56	-0.57
240	-0.58	-0.61
241	-0.45	-0.6
242	-1.56	-1.59
246	-1.56	-1.1
247	-1.07	-0.75
248	-1.56	-1.1
249	-0.73	-0.82
250	-1.07	-1.59
251	-1.56	-1.59
257	-0.5	-0.52
258	-1.56	-1.59
259	-1.56	-1.59
262	0.72	1.08
266	-1.56	-1.59
267	1.63	1.7
268	-0.67	-0.59
269	-0.75	-0.82
270	-0.87	-0.98
271	1.37	1.31
272	0.25	0.27
273	-0.62	-0.67
274	1.35	1.38
275	-0.33	-0.34
279	-1.07	-0.78
280	-0.87	-0.75
283	-0.32	-0.34
284	-0.17	-0.21
285	-0.26	-0.31
286	-0.06	-0.09
288	0.62	0.37
290	0.16	0.04
291	1.9	2.01
292	2.01	1.97
301	2.06	2.31
302	2.69	2.74
306	1.84	1.95
307	0.88	0.83
308	2.25	2.28
309	2.08	2.21
310	1.63	1.63
311	0.61	0.58
312	-1.56	-1.1
313	-0.59	-0.91
314	-0.29	-0.31
316	-0.4	-0.33
317	0.78	0.62
318	-0.11	-0.12
319	-0.78	-0.86
320	-0.01	-0.18
321	-1.07	-0.91
322	0.43	0.45
323	1.48	1.43
324	0.95	1.09
325	-1.56	-1.59
326	-1.56	-1.59
327	0.99	0.96
328	0.72	0.89
329	-0.02	0.03
330	0.2	-0.04
331	0.36	0.57
332	-0.17	0.09
333	1.1	0.95
334	1.7	1.76
335	-1.56	-1.1
336	-0.78	-0.61
337	-1.56	-1.59
338	-0.87	-0.57
339	-0.28	-0.39
343	-1.56	-1.59
344	-1.07	-0.98
346	-0.73	-0.59
347	-0.25	-0.45
348	0.27	0.15
350	-0.68	-0.68
351	2.53	2.63
353	1.43	1.46
354	-1.56	-1.1
355	0.18	-0.07
356	-1.07	-1.59
357	-0.2	-0.15
358	1.34	1.45
359	-1.56	-1.59
360	-0.87	-0.7
361	-1.56	-1.59
362	-0.38	-0.44
363	-1.56	-1.59
364	-0.57	-0.57
366	-1.56	-0.91
367	-0.24	-0.15
368	-1.56	-1.1
369	0.93	0.94
372	1.81	1.79
373	0.02	0.09
374	-0.49	-0.53
375	2.27	2.27
377	1.94	2.02
378	2.08	2.06
379	-0.42	-0.29
381	1.25	1.17
382	1.26	1.31
383	-0.68	-0.7
384	-0.57	-0.67
387	2.08	2.15
388	2.21	2.11
389	2.07	1.98
390	1.01	1.25
391	1.22	1.09
392	1.65	1.69
393	-0.51	-0.49
394	0.1	0.61
395	-0.24	-0.22
396	2.67	2.68
397	1.46	1.23
398	0.08	0.03
399	-0.78	-0.91
400	1.45	1.34
401	-0.82	-0.75
402	0.79	0.76
403	0.58	0.54
405	0.99	0.9
406	0.55	0.33
407	-1.56	-1.1
408	0.35	0.31
409	-0.08	-0.1
410	0.67	0.64
411	0.86	0.77
417	-1.56	-1.59
419	-1.56	-1.59
420	-1.56	-1.59
421	0.17	0.17
427	1.39	1.58
429	-1.07	-0.91
430	-0.57	-0.68
432	-0.68	-0.6
