gene	GSM3123142	GSM3123143	GSM3123144	GSM3123145	GSM3123146
3265	1.77	1.66	0.98	1.14	1.42
3266	-1.28	-1.4	-1.53	-1.78	-1.1
3267	1.34	1.41	1.43	1.47	1.47
3268	0.28	0.3	-0.1	0.52	-0.07
3269	-0.69	-0.75	-0.77	-0.7	-1.1
3274	-0.69	-0.75	-0.77	-0.86	-1.58
3275	0.13	0.27	0.02	0.29	0.31
3276	1.57	1.72	1.64	1.52	2.09
3280	1.62	1.43	1.17	0.79	1.47
3281	1.75	1.64	1.69	1.42	1.79
3283	-0.44	-0.48	-0.44	-0.45	-0.39
3284	-1.28	-1.4	-1.53	-1.78	-1.58
3290	-1.28	-0.51	-0.16	-0.29	-0.44
3291	-0.69	-0.75	-0.58	-0.54	-0.7
3292	-1.28	-0.87	-0.67	-0.75	-0.79
3293	-1.28	-1.4	-1.53	-1.78	-1.58
3294	-0.5	-0.39	0.03	-0.55	-0.67
3295	0.31	0.52	0.37	0.56	0.7
3297	0.41	0.61	0.63	0.46	0.74
3298	0.13	0.11	0.48	0.14	0.4
3299	-0.3	-0.38	-0.2	-0.17	-0.39
3300	0.62	0.43	0.41	0.57	0.64
3301	1.79	1.96	2.27	1.73	2.26
3303	0.54	0.33	0.36	0.72	0.2
3305	-0.44	-0.63	-0.59	-0.53	-0.48
3306	0.16	0.17	0.08	0.18	0.03
3308	1.35	1.51	1.45	1.47	1.49
3309	2.13	2.15	2.46	2.21	2.45
3312	2.6	2.61	2.98	2.52	2.91
3313	1.99	2.11	1.66	1.83	2.06
3315	1.94	2.03	2.13	2.12	1.61
3316	0.13	0.32	-0.02	-0.05	-0.27
3320	2.26	2.29	2.53	2.15	2.34
3321	1.12	0.51	0.98	0.96	1.55
3326	2.88	2.98	2.89	2.93	2.98
3329	1.41	1.93	1.74	1.58	2.12
3336	1.74	2	1.48	0.9	2.02
3337	1.46	1.39	1.38	1.67	1.2
3338	-0.08	0.07	0.2	-0.04	-0.19
3339	2.34	2.11	1.78	1.96	1.18
3340	0.02	-0.19	-0.41	0.52	-0.13
3344	0.09	0.23	0.54	0.46	0.16
3350	-1.28	-1.4	-1.53	-1.78	-1.58
3351	-0.58	-0.68	-0.71	-0.91	-0.72
3352	-0.3	-0.43	-0.28	-0.15	-0.74
3355	-1.28	-1.4	-1.53	-1.78	-1.58
3356	-1.28	-1.4	-1.53	-1.24	-1.58
3357	-0.5	-0.59	-0.74	-0.45	-0.72
3358	-1.28	-1.4	-1.53	-1.78	-1.58
3359	-1.28	-1.4	-1.53	-1.78	-1.58
3360	-1.28	-0.56	-0.92	-1.13	-1.58
3361	-1.28	-1.4	-1.53	-1.35	-1.1
3362	-1.28	-0.75	-0.71	-1.03	-1.1
3363	-0.69	-1.4	-1.04	-0.96	-1.58
3364	-0.06	-0.11	-0.1	0.03	-0.04
3371	1.85	2.22	2.01	1.26	1.15
3373	0.04	-0.38	-0.39	-0.22	-0.48
3375	-1.28	-0.87	-1.53	-1.05	-0.4
3376	0.33	0.65	0.53	0.73	0.79
3381	-0.44	-1.4	-0.85	-0.7	-1.58
3382	-0.06	-0.01	-0.28	-0.05	0.11
3383	0.76	1.24	0.99	1.05	0.21
3384	-0.44	-0.45	-0.52	-0.57	-0.47
3386	-1.28	-1.4	-0.92	-0.93	-1.58
3394	-0.23	-0.01	-0.08	-0.18	-0.14
3397	1.69	1.34	1.84	0.57	0.99
3398	1.91	1.76	1.66	1.53	2.18
3399	1.74	1.64	1.86	1.2	0.67
3400	0.77	0.83	0.11	0.27	-0.6
3416	1.03	1.26	1.24	1.42	0.81
3417	0.52	0.45	0.86	0.57	0.52
3418	1.49	1.44	1.04	1.91	1.17
3419	1.29	1.49	1.68	1.28	1.62
3420	0.6	1.01	1.1	0.87	1.37
3421	1.35	1.31	1.13	1.08	1.27
3422	0.7	0.77	0.78	0.43	1.08
3423	1.52	0.99	1.39	1.16	0.63
3425	0.09	-0.09	0.16	0	-0.16
3426	-1.28	-1.4	-1.53	-0.93	-0.74
3428	0.71	0.74	0.59	1.04	-0.04
3430	1.01	1.22	0.96	0.94	1.1
3431	-0.3	-0.06	-0.07	0.12	-0.05
3433	-0.2	-0.06	0.85	0.73	-0.03
3434	-0.58	-0.36	-0.39	-0.35	-0.5
3437	-0.44	-0.2	0.38	0.39	-0.06
3441	-1.28	-1.4	-1.04	-1.35	-1.58
3454	1.12	0.83	0.97	1.07	0.85
3455	0.58	0.6	0.81	0.51	0.52
3456	-1.28	-1.4	-1.04	-0.91	-0.91
3458	-1.28	-0.87	-1.53	-1.78	-1.58
3459	0.97	0.91	1.32	1.02	1.22
3460	1.47	1.1	0.51	1.11	0.72
3475	1.23	1.24	1.27	1.03	2.06
3476	0.8	0.89	0.91	0.68	1.02
3479	-0.44	-0.16	-0.05	-0.42	-0.47
3480	0.8	0.55	0.92	0.98	0.46
3481	-0.58	-0.75	-0.42	-0.63	-1.1
3482	1.23	1.14	1.15	1.48	1.32
3483	-1.28	-0.63	-0.77	-0.79	-0.24
3484	-1.28	-1.4	-1.53	-1.35	-1.58
3485	0.76	0.12	0.05	-0.35	1.5
3486	1.62	2.02	1.32	0.98	1.36
3487	1.08	0.21	0.78	0.29	0.56
3488	2.36	2.08	2.6	1.58	2.08
3489	-0.58	-0.39	-0.54	-0.49	-0.61
3490	1.67	1.87	2.54	2.06	1.25
3491	1.8	1.57	1.78	1.6	1.35
3508	-0.39	-0.17	-0.28	-0.18	-0.18
3512	-1.28	-0.87	-0.45	-0.9	-0.82
3516	1.23	1.24	1.52	1.43	1.15
3543	-1.28	-1.4	-1.04	-0.7	-1.58
3547	-0.5	-1.4	-1.53	-1.78	-1.58
3549	-1.28	-1.4	-1.04	-0.96	-0.7
3550	1.12	1.26	1.13	1.09	1.44
3551	0.39	0.52	0.65	0.97	0.57
3552	-0.58	-0.87	-0.62	-0.71	-0.62
3553	-0.39	0.07	-0.46	-0.52	-0.46
3554	-0.14	0.07	0.07	0.16	-0.2
3556	0.31	0.08	1.04	0.49	0.74
3557	0.67	0.8	0.44	0.3	0.07
3558	-1.28	-1.4	-1.53	-1.13	-1.1
3559	-0.69	-0.48	-0.39	-0.73	-0.67
