ImmPort Study ID	PubMed	Study Title	PI	Biosample ID	Experiment ID	Cohort	Repository Accession	Type	Biosample Name	Biosample Description	Species	Strain	Cancer Type
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541693	GSE94583	Tissue	GSM2478819	None	LCS-driven primary tumor_dissected SJMMHB016147	LCS-driven primary tumor_dissected	Mouse	LCS-driven primary tumor_dissected SJMMHB016147	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541694	GSE94583	Tissue	GSM2478820	None	LCS-driven primary tumor_dissected SJMMHB016148	LCS-driven primary tumor_dissected	Mouse	LCS-driven primary tumor_dissected SJMMHB016148	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541695	GSE94583	Tissue	GSM2478821	None	LCS-driven primary tumor_dissected SJMMHB016149	LCS-driven primary tumor_dissected	Mouse	LCS-driven primary tumor_dissected SJMMHB016149	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541696	GSE94583	Tissue	GSM2478822	None	LCS-driven primary tumor_dissected SJMMHB016150	LCS-driven primary tumor_dissected	Mouse	LCS-driven primary tumor_dissected SJMMHB016150	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541697	GSE94583	Tissue	GSM2478823	None	normal liver_dissected SJMMHB016151	normal liver_dissected	Mouse	normal liver_dissected SJMMHB016151	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541698	GSE94583	Tissue	GSM2478824	None	LCS-driven primary tumor_dissected SJMMHB016152	LCS-driven primary tumor_dissected	Mouse	LCS-driven primary tumor_dissected SJMMHB016152	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541699	GSE94583	Tissue	GSM2478825	None	LCS-driven primary tumor_dissected SJMMHB016153	LCS-driven primary tumor_dissected	Mouse	LCS-driven primary tumor_dissected SJMMHB016153	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541706	GSE94583	organoids	GSM2478832	None	Liver cancer organoids_cultured_LCS1 SJMMHB016958	Liver cancer organoids_cultured_LCS1	Mouse	Liver cancer organoids_cultured_LCS1 SJMMHB016958	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541707	GSE94583	organoids	GSM2478833	None	Liver cancer organoids_cultured_LCS1 SJMMHB016959	Liver cancer organoids_cultured_LCS1	Mouse	Liver cancer organoids_cultured_LCS1 SJMMHB016959	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541708	GSE94583	organoids	GSM2478834	None	Liver cancer organoids_cultured_LCS1 SJMMHB016960	Liver cancer organoids_cultured_LCS1	Mouse	Liver cancer organoids_cultured_LCS1 SJMMHB016960	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541709	GSE94583	organoids	GSM2478835	None	Liver cancer organoids_cultured_LCS2 SJMMHB016970	Liver cancer organoids_cultured_LCS2	Mouse	Liver cancer organoids_cultured_LCS2 SJMMHB016970	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541710	GSE94583	organoids	GSM2478836	None	Liver cancer organoids_cultured_LCS2 SJMMHB016971	Liver cancer organoids_cultured_LCS2	Mouse	Liver cancer organoids_cultured_LCS2 SJMMHB016971	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541711	GSE94583	organoids	GSM2478837	None	Liver cancer organoids_cultured_LCS2 SJMMHB016972	Liver cancer organoids_cultured_LCS2	Mouse	Liver cancer organoids_cultured_LCS2 SJMMHB016972	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541712	GSE94583	Tissue	GSM2478838	None	LCS-driven lung metastasis_dissected SJMMHB018122	LCS-driven lung metastasis_dissected	Mouse	LCS-driven lung metastasis_dissected SJMMHB018122	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541713	GSE94583	Tissue	GSM2478839	None	LCS-driven lung metastasis_dissected SJMMHB018124	LCS-driven lung metastasis_dissected	Mouse	LCS-driven lung metastasis_dissected SJMMHB018124	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541716	GSE94583	Tissue	GSM2478842	None	LCS-driven peritoneal metastasis_dissected SJMMHB044765	LCS-driven peritoneal metastasis_dissected	Mouse	LCS-driven peritoneal metastasis_dissected SJMMHB044765	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541717	GSE94583	Tissue	GSM2478843	None	LCS-driven peritoneal metastasis_dissected SJMMHB044766	LCS-driven peritoneal metastasis_dissected	Mouse	LCS-driven peritoneal metastasis_dissected SJMMHB044766	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541718	GSE94583	Tissue	GSM2478844	None	LCS-driven primary tumor_dissected SJMMHB044768	LCS-driven primary tumor_dissected	Mouse	LCS-driven primary tumor_dissected SJMMHB044768	Liver_Hepatocellular_Carcinoma
